" This page was last edited on 10 November 2023, at 20:01",Character actor,https://en.wikipedia.org/wiki/Character_actor
" This page was last edited on 9 December 2023, at 12:37",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 6 December 2023, at 16:20",Philadelphia,https://en.wikipedia.org/wiki/Philadelphia
" This page was last edited on 8 December 2023, at 23:58",Footloose,https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 29 October 2023, at 09:05",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 9 December 2023, at 03:06",Sam Elliott,https://en.wikipedia.org/wiki/Sam_Elliott
" This page was last edited on 22 October 2023, at 17:26",Primetime Emmy Awards,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 3 December 2023, at 11:22",Sam Rockwell,https://en.wikipedia.org/wiki/Sam_Rockwell
" This page was last edited on 15 November 2023, at 01:11",CNN,https://en.wikipedia.org/wiki/CNN
" This page was last edited on 3 December 2023, at 10:10",Animal House,https://en.wikipedia.org/wiki/National_Lampoon%27s_Animal_House
" This page was last edited on 31 October 2023, at 07:59",Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd
" This page was last edited on 6 December 2023, at 19:07",Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline
last_updated_utc,title,url
" This page was last edited on 8 December 2023, at 16:12",Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 1 November 2023, at 11:57",Michael Bacon (musician),https://en.wikipedia.org/wiki/Michael_Bacon_(musician)
" This page was last edited on 12 June 2022, at 14:34",Kevin Bacon (disambiguation),https://en.wikipedia.org/wiki/Kevin_Bacon_(disambiguation)
" This page was last edited on 10 November 2023, at 20:01",Leading actor,https://en.wikipedia.org/wiki/Leading_man
" This page was last edited on 5 October 2022, at 19:27",Main Page,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 26 October 2023, at 00:34",Kevin Bacon filmography,https://en.wikipedia.org/wiki/Kevin_Bacon_filmography
" This page was last edited on 7 December 2023, at 05:26",Kyra Sedgwick,https://en.wikipedia.org/wiki/Kyra_Sedgwick
" This page was last edited on 9 November 2023, at 05:06",Sosie Bacon,https://en.wikipedia.org/wiki/Sosie_Bacon
" This page was last edited on 6 September 2023, at 19:34",Edmund Bacon (architect),https://en.wikipedia.org/wiki/Edmund_Bacon_(architect)
" This page was last edited on 10 November 2023, at 20:01",Character actor,https://en.wikipedia.org/wiki/Character_actor
" This page was last edited on 9 December 2023, at 12:37",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 6 December 2023, at 16:20",Philadelphia,https://en.wikipedia.org/wiki/Philadelphia
" This page was last edited on 3 December 2023, at 11:22",Sam Rockwell,https://en.wikipedia.org/wiki/Sam_Rockwell
" This page was last edited on 8 December 2023, at 23:58",Footloose,https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 9 December 2023, at 03:06",Sam Elliott,https://en.wikipedia.org/wiki/Sam_Elliott
" This page was last edited on 29 October 2023, at 09:05",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 3 December 2023, at 10:10",Animal House,https://en.wikipedia.org/wiki/National_Lampoon%27s_Animal_House
" This page was last edited on 15 November 2023, at 01:11",CNN,https://en.wikipedia.org/wiki/CNN
" This page was last edited on 22 October 2023, at 17:26",Primetime Emmy Awards,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 31 October 2023, at 07:59",Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd
